Date,Year,Percentage
1/1,1992,2.9
2/1,1992,3.1
3/1,1992,2.6
4/1,1992,2.6
5/1,1992,2.5
6/1,1992,3.2
7/1,1992,3.4
8/1,1992,3.5
9/1,1992,3.6
10/1,1992,3.1
11/1,1992,3
12/1,1992,3
1/1,1993,3.3
2/1,1993,3.1
3/1,1993,2.8
4/1,1993,2.6
5/1,1993,2.7
6/1,1993,3.3
7/1,1993,3.2
8/1,1993,3.4
9/1,1993,3.3
10/1,1993,2.8
11/1,1993,2.8
12/1,1993,2.6
1/1,1994,3.3
2/1,1994,2.9
3/1,1994,2.8
4/1,1994,2.2
5/1,1994,2.5
6/1,1994,2.7
7/1,1994,3.1
8/1,1994,3.6
9/1,1994,3
10/1,1994,2.3
11/1,1994,2.2
12/1,1994,2.3
1/1,1995,2.6
2/1,1995,2.6
3/1,1995,2.5
4/1,1995,2.6
5/1,1995,2.1
6/1,1995,2.9
7/1,1995,3.1
8/1,1995,3.7
9/1,1995,2.9
10/1,1995,2.6
11/1,1995,2.4
12/1,1995,2.3
1/1,1996,2.7
2/1,1996,2.5
3/1,1996,2.2
4/1,1996,2.1
5/1,1996,2.1
6/1,1996,2.4
7/1,1996,3
8/1,1996,3
9/1,1996,2.6
10/1,1996,2
11/1,1996,2.4
12/1,1996,2.1
1/1,1997,2.4
2/1,1997,2
3/1,1997,2
4/1,1997,1.7
5/1,1997,2.1
6/1,1997,2.4
7/1,1997,2.9
8/1,1997,3.2
9/1,1997,2.6
10/1,1997,1.7
11/1,1997,1.7
12/1,1997,1.4
1/1,1998,1.8
2/1,1998,1.9
3/1,1998,1.9
4/1,1998,1.7
5/1,1998,1.8
6/1,1998,2.1
7/1,1998,2.1
8/1,1998,2.8
9/1,1998,2.1
10/1,1998,2
11/1,1998,1.9
12/1,1998,1.7
1/1,1999,2
2/1,1999,1.9
3/1,1999,1.8
4/1,1999,1.8
5/1,1999,1.6
6/1,1999,2.4
7/1,1999,2.2
8/1,1999,2.2
9/1,1999,1.6
10/1,1999,1.6
11/1,1999,1.5
12/1,1999,1.3
1/1,2000,2
2/1,2000,1.6
3/1,2000,1.5
4/1,2000,1.4
5/1,2000,1.5
6/1,2000,1.9
7/1,2000,2.3
8/1,2000,2.7
9/1,2000,2.2
10/1,2000,1.6
11/1,2000,1.6
12/1,2000,1.5
1/1,2001,1.7
2/1,2001,1.8
3/1,2001,2
4/1,2001,1.9
5/1,2001,2
6/1,2001,2.4
7/1,2001,2.7
8/1,2001,3.2
9/1,2001,2.8
10/1,2001,2.2
11/1,2001,2.7
12/1,2001,2.6
1/1,2002,2.7
2/1,2002,2.6
3/1,2002,2.6
4/1,2002,2.4
5/1,2002,2.2
6/1,2002,2.9
7/1,2002,3.5
8/1,2002,3.5
9/1,2002,3.2
10/1,2002,2.8
11/1,2002,2.5
12/1,2002,2.4
1/1,2003,3
2/1,2003,2.7
3/1,2003,2.7
4/1,2003,2.5
5/1,2003,2.6
6/1,2003,2.9
7/1,2003,3.5
8/1,2003,3.6
9/1,2003,3.3
10/1,2003,2.9
11/1,2003,2.4
12/1,2003,2.4
1/1,2004,2.9
2/1,2004,2.8
3/1,2004,2.7
4/1,2004,2.7
5/1,2004,2.7
6/1,2004,2.9
7/1,2004,3.2
8/1,2004,3.1
9/1,2004,2.4
10/1,2004,2.4
11/1,2004,2.2
12/1,2004,2.1
1/1,2005,2.5
2/1,2005,2.3
3/1,2005,2.1
4/1,2005,2.2
5/1,2005,2
6/1,2005,2.6
7/1,2005,3
8/1,2005,2.6
9/1,2005,2.8
10/1,2005,2.3
11/1,2005,2.2
12/1,2005,2
1/1,2006,2.2
2/1,2006,2.1
3/1,2006,2
4/1,2006,2.1
5/1,2006,2
6/1,2006,2.2
7/1,2006,2.8
8/1,2006,2.3
9/1,2006,2.4
10/1,2006,1.8
11/1,2006,1.8
12/1,2006,1.8
1/1,2007,2
2/1,2007,1.8
3/1,2007,1.8
4/1,2007,1.8
5/1,2007,1.8
6/1,2007,2.1
7/1,2007,2.8
8/1,2007,2.6
9/1,2007,2.1
10/1,2007,2.2
11/1,2007,2.2
12/1,2007,2
1/1,2008,2.1
2/1,2008,2.1
3/1,2008,2.1
4/1,2008,2
5/1,2008,2.1
6/1,2008,2.6
7/1,2008,3.2
8/1,2008,3.6
9/1,2008,2.6
10/1,2008,3.1
11/1,2008,3.2
12/1,2008,3.3
1/1,2009,3.8
2/1,2009,3.9
3/1,2009,3.8
4/1,2009,3.5
5/1,2009,4.4
6/1,2009,4.7
7/1,2009,5.2
8/1,2009,5.4
9/1,2009,4.9
10/1,2009,4.6
11/1,2009,4.5
12/1,2009,4.8
1/1,2010,4.9
2/1,2010,4.5
3/1,2010,4.4
4/1,2010,4.2
5/1,2010,4.5
6/1,2010,4.6
7/1,2010,5.2
8/1,2010,5.3
9/1,2010,4.6
10/1,2010,4.4
11/1,2010,4.7
12/1,2010,4.5
1/1,2011,4.1
2/1,2011,4
3/1,2011,4.2
4/1,2011,4.1
5/1,2011,4.3
6/1,2011,4.4
7/1,2011,5.1
8/1,2011,5
9/1,2011,4.4
10/1,2011,4.2
11/1,2011,4.2
12/1,2011,3.9
1/1,2012,4.4
2/1,2012,4.1
3/1,2012,3.8
4/1,2012,3.8
5/1,2012,3.6
6/1,2012,4.6
7/1,2012,5.3
8/1,2012,5
9/1,2012,4.3
10/1,2012,3.9
11/1,2012,4.1
12/1,2012,4.1
1/1,2013,4.2
2/1,2013,4
3/1,2013,3.7
4/1,2013,3.5
5/1,2013,3.4
6/1,2013,4
7/1,2013,4.5
8/1,2013,4
9/1,2013,3.8
10/1,2013,4
11/1,2013,3.2
12/1,2013,3
1/1,2014,3.1
2/1,2014,3.2
3/1,2014,3.4
4/1,2014,3.1
5/1,2014,3
6/1,2014,3.6
7/1,2014,4.1
8/1,2014,4
9/1,2014,3.2
10/1,2014,3.1
11/1,2014,3.1
12/1,2014,2.5
1/1,2015,2.9
2/1,2015,2.6
3/1,2015,2.2
4/1,2015,2.4
5/1,2015,2.7
6/1,2015,2.8
7/1,2015,3.4
8/1,2015,3.1
9/1,2015,2.6
10/1,2015,2.8
11/1,2015,2.4
12/1,2015,2.3
1/1,2016,2.6
2/1,2016,2.4
